ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,TONNAGE_DMA_T
2009,84,Auvergne-Rhône-Alpes,01,Ain,07A,Ordures ménagères résiduelles,134208.6846
2009,84,Auvergne-Rhône-Alpes,01,Ain,07B,Déblais et gravats,37592.70522
2009,84,Auvergne-Rhône-Alpes,01,Ain,07C,Encombrants,34961.89431
2009,84,Auvergne-Rhône-Alpes,01,Ain,07D,Déchets dangereux (y.c. DEEE),4727.99915
2009,84,Auvergne-Rhône-Alpes,01,Ain,07E,Matériaux recyclables,68074.70009
2009,84,Auvergne-Rhône-Alpes,01,Ain,07F,Déchets verts et biodéchets,45013.01204
2009,84,Auvergne-Rhône-Alpes,01,Ain,07Z,Autres,79.25858
2009,84,Auvergne-Rhône-Alpes,03,Allier,07A,Ordures ménagères résiduelles,105182.36693
2009,84,Auvergne-Rhône-Alpes,03,Allier,07B,Déblais et gravats,14373.5582
2009,84,Auvergne-Rhône-Alpes,03,Allier,07C,Encombrants,12409.22294
2009,84,Auvergne-Rhône-Alpes,03,Allier,07D,Déchets dangereux (y.c. DEEE),1866.62362
2009,84,Auvergne-Rhône-Alpes,03,Allier,07E,Matériaux recyclables,33625.77785
2009,84,Auvergne-Rhône-Alpes,03,Allier,07F,Déchets verts et biodéchets,19239.36126
2009,84,Auvergne-Rhône-Alpes,03,Allier,07Z,Autres,0.35182
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07A,Ordures ménagères résiduelles,89088.4246
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07B,Déblais et gravats,14248.80078
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07C,Encombrants,16588.35051
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07D,Déchets dangereux (y.c. DEEE),1188.18886
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07E,Matériaux recyclables,34455.21834
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07F,Déchets verts et biodéchets,10081.93883
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07Z,Autres,34.4896
2009,84,Auvergne-Rhône-Alpes,15,Cantal,07A,Ordures ménagères résiduelles,56636.91714
2009,84,Auvergne-Rhône-Alpes,15,Cantal,07B,Déblais et gravats,2840.00001
2009,84,Auvergne-Rhône-Alpes,15,Cantal,07C,Encombrants,4383.53851
2009,84,Auvergne-Rhône-Alpes,15,Cantal,07D,Déchets dangereux (y.c. DEEE),278.46266
2009,84,Auvergne-Rhône-Alpes,15,Cantal,07E,Matériaux recyclables,13336.01979
2009,84,Auvergne-Rhône-Alpes,15,Cantal,07F,Déchets verts et biodéchets,5966.75944
